Time;Heap Memory;Total Memory
1004719622548600;219967488;4256399360
1004719565667100;219967488;4256395264
1004720142143300;245075968;4329467904
1004720205411100;246124544;4330565632
1004720690594200;119599104;4253528064
1004720748911400;119599104;4253528064
1004720806942500;119599104;4253528064
1004721252979300;128192512;4310388736
1004721311517300;128192512;4310388736
1004721799918000;150417408;4379873280
1004721741310500;150417408;4379873280
1004722305753800;175263744;4452671488
1004722362984900;175263744;4452671488
1004722246489800;172642304;4450041856
1004722872040200;200110080;4525256704
1004722810040900;200110080;4525256704
1004723380869900;224956416;4597878784
1004723319339500;224956416;4597874688
1004723828916200;249540608;4670341120
1004723948531800;249540608;4670447616
1004723889086700;249540608;4670447616
1004724467310000;274386944;4743069696
1004724409074700;273076224;4742033408
1004724919774900;298708992;4815192064
1004724978244100;299233280;4815663104
1004725037936400;299233280;4815671296
1004725488988900;117436416;4678467584
1004725548652900;117436416;4678467584
1004725997690300;138088448;4746215424
1004726057201000;138612736;4747362304
1004726588643400;163459072;4819963904
1004726648789800;163459072;4819968000
1004726525366400;156381184;4812644352
1004727125178900;188305408;4892499968
1004727192593300;188305408;4892499968
1004727631112700;213151744;4965076992
1004727747250900;213151744;4965089280
1004727689472400;213151744;4965089280
1004728203050200;238260224;5037821952
1004728263119400;238260224;5037821952
1004728769109200;262844416;5110419456
1004728711281600;262844416;5109960704
1004729226657600;118222848;5012623360
1004729285770900;118222848;5012652032
1004729343968200;118222848;5012652032
1004729850237500;138874880;5081214976
1004729792130500;137826304;5080088576
1004730367530600;163721216;5153746944
1004730308823500;163196928;5153189888
1004730431017600;163721216;5153751040
1004730909885500;188567552;5226348544
1004730972176400;188567552;5226348544
1004731488140900;213676032;5298946048
1004731429949300;213151744;5298786304
1004731950191400;234852352;5368061952
1004732075069100;238522368;5371580416
1004732014231100;238522368;5371580416
1004732599860400;263106560;5444136960
1004732541692300;263106560;5444136960
1004733067790600;118222848;5347467264
1004733202062700;118222848;5347467264
1004733137474700;118222848;5347467264
1004733668105700;139137024;5415870464
1004733728470400;139137024;5415870464
1004734197200200;163196928;5487874048
1004734259353000;163721216;5488463872
1004734717037800;188567552;5561057280
1004734833919600;188567552;5561061376
1004734774725800;188567552;5561057280
1004735291193700;213151744;5633589248
1004735347269600;213151744;5633642496
1004735802974300;237211648;5705150464
1004735867274700;237998080;5706252288
1004735933019700;237998080;5706252288
1004736419548900;262844416;5778849792
1004736479761800;262844416;5778849792
1004736969810300;118747136;5683138560
1004737034372400;118747136;5683138560
1004737517532700;136515584;5747904512
1004737633479900;139137024;5750476800
1004737576867200;139137024;5750476800
1004738097681500;163721216;5823066112
1004738160162300;163721216;5823066112
1004738652939200;188567552;5895647232
1004738710333700;188567552;5895651328
1004738768169400;188567552;5895651328
1004739302321600;213413888;5968199680
1004739242316300;213413888;5968158720
1004739775304100;237211648;6039592960
1004739833229000;238260224;6040612864
1004740299974000;262320128;6112595968
1004740414625100;262844416;6113030144
1004740357057500;262844416;6113021952
1004740888169200;118747136;6017138688
1004740945798500;118747136;6017167360
1004741474937900;139137024;6084448256
1004741413869900;137826304;6083358720
1004741532726300;139137024;6084452352
1004742067674700;163721216;6156922880
1004742009954600;163721216;6156922880
1004742554142600;188567552;6229336064
1004742617539900;188567552;6229336064
1004743177146600;213151744;6301757440
1004743113899300;213151744;6301753344
1004743235973400;213151744;6301757440
1004743720187700;236687360;6373048320
1004743779274100;237735936;6374187008
1004744276843900;262057984;6446018560
1004744335914000;262844416;6446604288
1004744394032000;262844416;6446604288
1004744878190600;116649984;6348779520
1004744935043400;116649984;6348779520
1004745412902200;138350592;6418030592
1004745475326900;139661312;6419226624
1004746097905000;165560320;6493827072
1004745974536500;164773888;6493212672
1004746036823300;165560320;6493822976
1004746604276300;190144512;6566170624
1004746663236500;190144512;6566174720
1004747150531300;214990848;6638448640
1004747210375400;214990848;6638448640
1004747761063300;239575040;6711029760
1004747697505800;236691456;6708158464
1004747821747400;239575040;6711029760
1004748323334500;264683520;6783590400
1004748383524500;264945664;6784143360
1004748939713600;118484992;6685085696
1004748997447100;118484992;6685085696
1004748881073900;118484992;6685085696
1004749491320400;138616832;6752747520
1004749548679900;139665408;6753906688
1004750054634100;165298176;6826971136
1004750114468600;166084608;6827515904
1004750755542600;191983616;6900961280
